fechas,valor
18/12/2019,72
17/12/2019,69
16/12/2019,69
13/12/2019,62
12/12/2019,63
11/12/2019,65
10/12/2019,66
09/12/2019,66
06/12/2019,68
05/12/2019,66
04/12/2019,65
03/12/2019,65
02/12/2019,64
29/11/2019,66
28/11/2019,67
27/11/2019,66
26/11/2019,65
25/11/2019,65
22/11/2019,66
21/11/2019,64
20/11/2019,64
19/11/2019,64
15/11/2019,64
14/11/2019,64
13/11/2019,64
12/11/2019,63
11/11/2019,62
08/11/2019,62
07/11/2019,61
06/11/2019,62
05/11/2019,62
04/11/2019,63
01/11/2019,65
31/10/2019,66
30/10/2019,64
29/10/2019,64
28/10/2019,71
25/10/2019,73
24/10/2019,67
23/10/2019,67
22/10/2019,64
21/10/2019,63
18/10/2019,62
17/10/2019,65
16/10/2019,63
15/10/2019,62
11/10/2019,62
10/10/2019,61
09/10/2019,60
08/10/2019,58
07/10/2019,58
04/10/2019,58
03/10/2019,58
02/10/2019,59
01/10/2019,58
30/09/2019,58
27/09/2019,59
26/09/2019,59
25/09/2019,59
24/09/2019,59
23/09/2019,59
20/09/2019,59
19/09/2019,60
18/09/2019,60
17/09/2019,59
16/09/2019,59
13/09/2019,58
12/09/2019,55
11/09/2019,55
10/09/2019,55
09/09/2019,55
06/09/2019,55
05/09/2019,54
04/09/2019,54
03/09/2019,57
02/09/2019,60
30/08/2019,60
29/08/2019,58
28/08/2019,60
27/08/2019,56
26/08/2019,55
23/08/2019,54
22/08/2019,54
21/08/2019,55
20/08/2019,53
16/08/2019,55
15/08/2019,55
14/08/2019,59
13/08/2019,53
12/08/2019,53
09/08/2019,45
08/08/2019,45
07/08/2019,45
06/08/2019,45
05/08/2019,45
02/08/2019,44
01/08/2019,44
31/07/2019,44
30/07/2019,44
29/07/2019,44
26/07/2019,43
25/07/2019,43
24/07/2019,43
23/07/2019,43
22/07/2019,43
19/07/2019,42
18/07/2019,42
17/07/2019,43
16/07/2019,43
15/07/2019,42
12/07/2019,42
11/07/2019,42
10/07/2019,41
05/07/2019,41
04/07/2019,41
03/07/2019,42
02/07/2019,42
01/07/2019,42
28/06/2019,42
27/06/2019,43
26/06/2019,43
25/06/2019,43
24/06/2019,43
21/06/2019,43
19/06/2019,43
18/06/2019,44
14/06/2019,44
13/06/2019,44
12/06/2019,44
11/06/2019,44
10/06/2019,44
07/06/2019,44
06/06/2019,44
05/06/2019,44
04/06/2019,45
03/06/2019,45
31/05/2019,45
30/05/2019,44
29/05/2019,45
28/05/2019,45
27/05/2019,45
24/05/2019,45
23/05/2019,45
22/05/2019,45
21/05/2019,45
20/05/2019,45
17/05/2019,45
16/05/2019,45
15/05/2019,45
14/05/2019,45
13/05/2019,45
10/05/2019,45
09/05/2019,45
08/05/2019,45
07/05/2019,45
06/05/2019,46
03/05/2019,45
02/05/2019,45
30/04/2019,45
29/04/2019,44
26/04/2019,45
25/04/2019,45
24/04/2019,44
23/04/2019,43
22/04/2019,43
17/04/2019,41
16/04/2019,43
15/04/2019,43
12/04/2019,43
11/04/2019,43
10/04/2019,43
09/04/2019,43
08/04/2019,43
05/04/2019,43
04/04/2019,43
